Gold_Spot,Crude_Oil,Gold_Futures,Gold_ETF,Silver_Fututes,S&P_500,NASDAQ,USD_Index,CPI,Fed_Funds_Rate,M2_Supply,Unemployment,Treasury_Yield_10Y,Real_Interest_Rate,^VIX,GPR,GPRT,GPRA
549.86,67.91999817,570.7999878,56.70000076,9.850000381,1280.079956,2305.820068,99.4311,199.3,4.29,6730.3,4.7,4.42,2.0,12.94999981,94.51001739501953,89.32347106933594,100.19158172607422
555.0,61.40999985,561.5999756,56.06999969,9.720000267,1280.660034,2281.389893,99.7695,199.4,4.49,6754.9,4.8,4.57,2.02,12.34000015,95.85819244384766,89.40576171875,102.79864501953125
557.09,66.62999725,581.7999878,58.09999847,11.47999954,1294.869995,2339.790039,100.56,199.7,4.59,6769.5,4.7,4.72,2.35,11.39000034,92.79762268066406,88.04222869873047,97.03602600097656
610.65,71.87999725,651.7999878,65.08999634,13.51000023,1310.609985,2322.570068,98.1412,200.7,4.79,6807.0,4.7,4.99,2.39,11.59000015,89.01580047607422,85.9110107421875,92.8307113647461
675.39,71.29000092,642.5,64.23000336,12.39799976,1270.089966,2178.879883,97.7705,201.3,4.94,6813.9,4.6,5.11,2.48,16.44000053,85.20877838134766,84.03312683105469,82.27742767333984
596.15,73.98000336,613.5,61.22999954,10.90999985,1270.199951,2172.090088,98.2483,201.8,4.99,6852.1,4.6,5.11,2.54,13.07999992,102.57276916503906,90.38453674316406,115.67947387695312
633.71,74.40000153,634.2000122,63.15999985,11.32499981,1276.660034,2091.469971,97.9996,202.9,5.24,6893.9,4.7,5.09,2.41,14.94999981,137.13482666015625,134.39634704589844,142.0860595703125
632.59,70.26000214,625.9000244,62.29000092,12.89999962,1303.819946,2183.75,97.644,203.8,5.25,6925.3,4.7,4.88,2.24,12.31000042,147.08111572265625,141.55645751953125,159.18817138671875
598.19,62.90999985,598.5999756,59.47000122,11.44999981,1335.849976,2258.429932,98.1054,202.8,5.25,6952.6,4.5,4.72,2.27,11.97999954,111.72425842285156,110.28041076660156,114.77066802978516
585.78,58.72999954,604.0999756,60.24000168,12.21199989,1377.939941,2366.709961,97.3901,201.9,5.25,7002.0,4.4,4.73,2.34,11.10000038,113.13529968261719,125.2918930053711,99.27391815185547
627.83,63.13000107,646.9000244,64.38999939,13.92500019,1400.630005,2431.77002,96.5779,202.0,5.25,7037.5,4.5,4.6,2.16,10.90999985,88.77892303466797,87.27577209472656,86.71051025390625
629.79,61.04999924,635.2000122,63.20999908,12.81799984,1418.300049,2415.290039,97.0312,203.1,5.24,7080.4,4.4,4.56,2.41,11.56000042,90.60655975341797,95.78137969970703,78.7696533203125
631.17,58.13999939,652.0,64.83000183,13.51399994,1438.23999,2463.929932,97.964,203.437,5.25,7118.5,4.6,4.76,2.4,10.42000008,97.9200439453125,95.61344909667969,97.65373992919922
664.75,61.79000092,669.4000244,66.48000336,14.10000038,1406.819946,2416.149902,97.2386,204.226,5.26,7134.6,4.5,4.72,2.2,15.42000008,96.16935729980469,98.1557388305664,90.95567321777344
654.9,65.87000275,663.0,65.73999786,13.39000034,1420.859985,2421.639893,96.3183,205.288,5.26,7168.5,4.4,4.56,2.21,14.64000034,87.33650207519531,86.1521224975586,83.9186019897461
679.37,65.70999908,680.5,67.08999634,13.44499969,1482.369995,2525.090088,94.8365,205.904,5.25,7241.0,4.5,4.69,2.2,14.22000027,76.6133804321289,69.22551727294922,83.41928100585938
666.86,64.01000214,661.0,65.54000092,13.4090004,1530.619995,2604.52002,94.3215,206.755,5.25,7254.9,4.4,4.75,2.54,13.05000019,92.5995864868164,82.30323028564453,103.89258575439453
655.49,70.68000031,648.0999756,64.26999664,12.35299969,1503.349976,2603.22998,94.1393,207.234,5.25,7288.1,4.6,5.1,2.65,16.22999954,97.9723129272461,87.08059692382812,109.30941009521484
665.3,78.20999908,666.9000244,65.79000092,12.94999981,1455.27002,2546.27002,93.4264,207.603,5.26,7319.0,4.7,5.0,2.44,23.52000046,112.34625244140625,103.2634048461914,127.13468170166016
665.41,74.04000092,673.0,66.51999664,12.06299973,1473.98999,2596.360107,93.6674,207.667,5.02,7395.1,4.6,4.67,2.34,23.37999916,83.17320251464844,73.12574005126953,100.14825439453125
712.65,81.66000366,742.7999878,73.51000214,13.79399967,1526.75,2701.5,90.9446,208.547,4.94,7413.3,4.7,4.52,2.27,18.0,94.4888687133789,94.93997955322266,92.24872589111328
754.6,94.52999878,792.0,78.62000275,14.37699986,1549.380005,2859.120117,89.1389,209.19,4.76,7428.4,4.7,4.53,2.14,18.53000069,101.47301483154297,103.61026763916016,97.49516296386719
806.25,88.70999908,782.2000122,77.31999969,13.9630003,1481.140015,2660.959961,89.6212,210.834,4.49,7453.8,4.7,4.15,1.63,22.87000084,89.79544830322266,95.73847961425781,81.56842803955078
803.2,95.98000336,834.9000244,82.45999908,14.79699993,1468.359985,2652.280029,89.6304,211.445,4.24,7484.2,5.0,4.1,1.73,22.5,94.96749114990234,98.5313720703125,84.13076782226562
889.6,91.75,922.7000122,91.40000153,16.94799995,1378.550049,2389.860107,88.6547,212.174,3.94,7517.8,5.0,3.74,1.33,26.20000076,81.49982452392578,76.40237426757812,83.74764251708984
