Date,USD
1/31/1978,207.83
2/28/1978,227.27
3/31/1978,245.67
4/28/1978,242.05
5/31/1978,239.16
6/30/1978,257.62
7/31/1978,279.07
8/31/1978,294.74
9/29/1978,300.82
10/31/1978,355.11
11/30/1978,391.66
12/29/1978,391.99
1/31/1979,455.08
2/28/1979,675.31
3/30/1979,665.32
4/30/1979,553.58
5/31/1979,517.41
6/29/1979,513.82
7/31/1979,600.72
8/31/1979,644.28
9/28/1979,627.15
10/31/1979,673.63
11/30/1979,661.15
12/31/1979,623.46
1/31/1980,594.92
2/29/1980,557.39
3/31/1980,499.76
4/30/1980,498.76
5/30/1980,495.8
6/30/1980,479.7
7/31/1980,460.76
8/29/1980,409.28
9/30/1980,410.16
10/31/1980,443.75
11/28/1980,437.75
12/31/1980,413.37
1/30/1981,410.09
2/27/1981,384.13
3/31/1981,374.13
4/30/1981,330.25
5/29/1981,350.34
6/30/1981,333.82
7/31/1981,314.98
8/31/1981,338.97
9/30/1981,364.23
10/30/1981,437.31
11/30/1981,422.15
12/31/1981,414.91
1/29/1982,444.29
2/26/1982,481.29
3/31/1982,491.2
4/30/1982,419.7
5/31/1982,432.88
6/30/1982,438.01
7/30/1982,412.84
8/31/1982,422.72
9/30/1982,416.24
10/29/1982,411.8
11/30/1982,393.58
12/31/1982,381.66
1/31/1983,388.34
2/28/1983,370.89
3/31/1983,385.92
4/29/1983,394.26
5/31/1983,381.36
6/30/1983,377.4
7/29/1983,377.67
8/31/1983,347.47
9/30/1983,347.68
10/31/1983,341.09
11/30/1983,340.17
12/30/1983,341.18
1/31/1984,320.16
2/29/1984,302.79
3/30/1984,299.1
4/30/1984,303.94
5/31/1984,325.27
6/29/1984,316.37
7/31/1984,316.49
8/31/1984,317.22
9/28/1984,329.79
10/31/1984,323.35
11/30/1984,325.84
12/31/1984,325.3
1/31/1985,321.88
2/28/1985,345.38
3/29/1985,338.89
4/30/1985,345.7
5/31/1985,340.44
6/28/1985,342.38
7/31/1985,342.72
8/30/1985,348.34
9/30/1985,376.59
10/31/1985,417.73
11/29/1985,423.51
12/31/1985,397.55
1/31/1986,390.92
2/28/1986,408.26
3/31/1986,401.11
4/30/1986,408.91
5/30/1986,438.35
6/30/1986,460.23
7/31/1986,449.59
8/29/1986,450.52
9/30/1986,461.15
10/31/1986,460.35
11/28/1986,465.35
12/31/1986,467.57
1/30/1987,486.24
2/27/1987,476.58
3/31/1987,442.07
4/30/1987,443.61
5/29/1987,451.55
6/30/1987,451.07
7/31/1987,451.33
8/31/1987,437.63
9/30/1987,431.28
10/30/1987,413.45
11/30/1987,406.78
12/31/1987,420.17
1/29/1988,419.05
2/29/1988,404.01
3/31/1988,387.51
4/29/1988,390.15
5/31/1988,384.4
6/30/1988,371.05
7/29/1988,367.6
8/31/1988,375.04
9/30/1988,365.14
10/31/1988,361.75
11/30/1988,366.88
12/30/1988,394.26
1/31/1989,409.39
2/28/1989,410.11
3/31/1989,416.81
4/28/1989,393.06
5/31/1989,374.24
6/30/1989,369.05
7/31/1989,352.33
8/31/1989,362.53
9/29/1989,394.73
10/31/1989,389.32
11/30/1989,380.74
12/29/1989,381.72
1/31/1990,376.95
2/28/1990,383.64
3/30/1990,363.83
4/30/1990,363.33
5/31/1990,358.38
6/29/1990,356.95
7/31/1990,366.72
8/31/1990,367.68
9/28/1990,356.3
10/31/1990,348.74
11/30/1990,358.69
12/31/1990,360.17
1/31/1991,361.72
2/28/1991,354.45
3/29/1991,353.91
4/30/1991,344.34
5/31/1991,338.62
6/28/1991,337.24
7/31/1991,340.8
8/30/1991,352.72
9/30/1991,343.06
10/31/1991,345.43
11/29/1991,344.38
12/31/1991,335.02
1/31/1992,334.8
2/28/1992,329.01
3/31/1992,329.31
4/30/1992,330.08
5/29/1992,342.15
6/30/1992,367.18
7/31/1992,371.89
8/31/1992,392.19
9/30/1992,378.84
10/30/1992,355.27
11/30/1992,364.18
12/31/1992,373.83
1/29/1993,383.3
2/26/1993,386.87
3/31/1993,381.91
4/30/1993,384.13
5/31/1993,377.27
6/30/1993,381.41
7/30/1993,385.64
8/31/1993,385.49
9/30/1993,380.35
10/29/1993,391.57
11/30/1993,389.77
12/31/1993,384.39
1/31/1994,379.29
2/28/1994,378.55
3/31/1994,376.64
4/29/1994,382.12
5/31/1994,391.03
6/30/1994,385.22
7/29/1994,387.56
8/31/1994,386.23
9/30/1994,383.65
10/31/1994,383.05
11/30/1994,383.14
12/30/1994,385.31
