Date,CPI,Fed_Funds_Rate,M2_Supply,Unemployment,Treasury_Yield_10Y
1/1/2000,169.3,5.45,4667.6,4,6.66
2/1/2000,170,5.73,4680.9,4.1,6.52
3/1/2000,171,5.85,4711.7,4,6.26
4/1/2000,170.9,6.02,4767.8,3.8,5.99
5/1/2000,171.2,6.27,4755.7,4,6.44
6/1/2000,172.2,6.53,4773.6,4,6.1
7/1/2000,172.7,6.54,4791.3,4,6.05
8/1/2000,172.7,6.5,4819.5,4.1,5.83
9/1/2000,173.6,6.52,4855.3,3.9,5.8
10/1/2000,173.9,6.51,4871.4,3.9,5.74
11/1/2000,174.2,6.51,4882.8,3.9,5.72
12/1/2000,174.6,6.4,4927.7,3.9,5.24
1/1/2001,175.6,5.98,4978.4,4.2,5.16
2/1/2001,176,5.49,5017.1,4.2,5.1
3/1/2001,176.1,5.31,5074.9,4.3,4.89
4/1/2001,176.4,4.8,5139.2,4.4,5.14
5/1/2001,177.3,4.21,5137.3,4.3,5.39
6/1/2001,177.7,3.97,5180.3,4.5,5.28
7/1/2001,177.4,3.77,5210.2,4.6,5.24
8/1/2001,177.4,3.65,5243.9,4.9,4.97
9/1/2001,178.1,3.07,5355.3,5,4.73
10/1/2001,177.6,2.49,5344,5.3,4.57
11/1/2001,177.5,2.09,5387.7,5.5,4.65
12/1/2001,177.4,1.82,5440.7,5.7,5.09
1/1/2002,177.7,1.73,5461.1,5.7,5.04
2/1/2002,178,1.74,5490.4,5.7,4.91
3/1/2002,178.5,1.73,5502.2,5.7,5.28
4/1/2002,179.3,1.75,5502.3,5.9,5.21
5/1/2002,179.5,1.75,5528.5,5.8,5.16
6/1/2002,179.6,1.75,5553.5,5.8,4.93
7/1/2002,180,1.73,5596.2,5.8,4.65
8/1/2002,180.5,1.74,5638.4,5.7,4.26
9/1/2002,180.8,1.75,5662.5,5.7,3.87
10/1/2002,181.2,1.75,5707.2,5.7,3.94
11/1/2002,181.5,1.34,5758.2,5.9,4.05
12/1/2002,181.8,1.24,5779.5,6,4.03
1/1/2003,182.6,1.24,5812.3,5.8,4.05
2/1/2003,183.6,1.26,5848.4,5.9,3.9
3/1/2003,183.9,1.25,5868.6,5.9,3.81
4/1/2003,183.2,1.26,5905.7,6,3.96
5/1/2003,182.9,1.26,5965.5,6.1,3.57
6/1/2003,183.1,1.22,6002.4,6.3,3.33
7/1/2003,183.7,1.01,6049.4,6.2,3.98
8/1/2003,184.5,1.03,6107.3,6.1,4.45
9/1/2003,185.1,1.01,6079.9,6.1,4.27
10/1/2003,184.9,1.01,6070.2,6,4.29
11/1/2003,185,1,6075.7,5.8,4.3
12/1/2003,185.5,0.98,6074,5.7,4.27
1/1/2004,186.3,1,6082.2,5.7,4.15
2/1/2004,186.7,1.01,6121.9,5.6,4.08
3/1/2004,187.1,1,6158,5.8,3.83
4/1/2004,187.4,1,6199.1,5.6,4.35
5/1/2004,188.2,1,6275.9,5.6,4.72
6/1/2004,188.9,1.03,6278.1,5.6,4.73
7/1/2004,189.1,1.26,6291.3,5.5,4.5
8/1/2004,189.2,1.43,6317.9,5.4,4.28
9/1/2004,189.8,1.61,6352.3,5.4,4.13
10/1/2004,190.8,1.76,6379.9,5.5,4.1
11/1/2004,191.7,1.93,6406.5,5.4,4.19
12/1/2004,191.7,2.16,6424.7,5.4,4.23
1/1/2005,191.6,2.28,6431,5.3,4.22
2/1/2005,192.4,2.5,6439.1,5.4,4.17
3/1/2005,193.1,2.63,6448.4,5.2,4.5
4/1/2005,193.7,2.79,6462,5.2,4.34
