Date,USD_Index
1/2/2006,101.4155
1/3/2006,100.7558
1/4/2006,100.2288
1/5/2006,100.2992
1/6/2006,100.0241
1/9/2006,100.1794
1/10/2006,100.1436
1/11/2006,99.871
1/12/2006,100.0643
1/13/2006,99.9675
1/16/2006,99.9715
1/17/2006,100.2447
1/18/2006,100.4085
1/19/2006,100.1862
1/20/2006,99.9017
1/23/2006,99.3783
1/24/2006,99.3434
1/25/2006,99.348
1/26/2006,99.4798
1/27/2006,99.6433
1/30/2006,99.7144
1/31/2006,99.4311
2/1/2006,99.6132
2/2/2006,99.7916
2/3/2006,100.118
2/6/2006,100.1372
2/7/2006,100.1759
2/8/2006,100.4879
2/9/2006,100.2117
2/10/2006,100.322
2/13/2006,100.3955
2/14/2006,100.3987
2/15/2006,100.4489
2/16/2006,100.5183
2/17/2006,100.3404
2/20/2006,100.3447
2/21/2006,100.2346
2/22/2006,100.3879
2/23/2006,100.1956
2/24/2006,100.2594
2/27/2006,100.0724
2/28/2006,99.7695
3/1/2006,99.8355
3/2/2006,99.5969
3/3/2006,99.7024
3/6/2006,99.9834
3/7/2006,100.564
3/8/2006,100.8565
3/9/2006,100.7718
3/10/2006,100.9566
3/13/2006,100.8563
3/14/2006,100.312
3/15/2006,100.2121
3/16/2006,99.9049
3/17/2006,99.8614
3/20/2006,100.0491
3/21/2006,100.4716
3/22/2006,100.496
3/23/2006,100.8256
3/24/2006,100.7773
3/27/2006,100.8359
3/28/2006,100.7995
3/29/2006,101.0474
3/30/2006,100.5698
3/31/2006,100.56
4/3/2006,100.6204
4/4/2006,100.1319
4/5/2006,100.0792
4/6/2006,100.1578
4/7/2006,100.4187
4/10/2006,100.4091
4/11/2006,100.2903
4/12/2006,100.3589
4/13/2006,100.4759
4/14/2006,100.4697
4/17/2006,99.8719
4/18/2006,99.6747
4/19/2006,99.3467
4/20/2006,99.4974
4/21/2006,99.4345
4/24/2006,99.117
4/25/2006,98.9687
4/26/2006,98.8907
4/27/2006,98.5149
4/28/2006,98.1412
5/1/2006,97.9085
5/2/2006,97.6571
5/3/2006,97.5572
5/4/2006,97.4878
5/5/2006,97.2585
5/8/2006,97.1945
5/9/2006,96.9578
5/10/2006,96.6391
5/11/2006,96.5383
5/12/2006,96.8788
5/15/2006,97.3588
5/16/2006,97.1959
5/17/2006,97.4725
5/18/2006,97.7033
5/19/2006,97.933
5/22/2006,97.9377
5/23/2006,97.7045
5/24/2006,98.3936
5/25/2006,97.8423
5/26/2006,97.8995
5/29/2006,97.8936
5/30/2006,97.588
5/31/2006,97.7705
6/1/2006,97.7726
6/2/2006,97.5544
6/5/2006,97.3681
6/6/2006,98.1449
6/7/2006,98.1641
6/8/2006,98.9313
6/9/2006,98.5471
6/12/2006,98.5494
6/13/2006,98.9201
6/14/2006,98.8338
6/15/2006,98.8846
6/16/2006,98.9127
6/19/2006,99.145
6/20/2006,99.0117
6/21/2006,98.5544
6/22/2006,99.0856
6/23/2006,99.4216
6/26/2006,99.3634
6/27/2006,99.219
6/28/2006,99.392
6/29/2006,99.2158
6/30/2006,98.2483
7/3/2006,98.0371
7/4/2006,98.0221
7/5/2006,98.308
7/6/2006,98.138
7/7/2006,97.7508
7/10/2006,97.9813
7/11/2006,98.2132
7/12/2006,98.5202
